TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,tx_hour,tx_day,tx_day_elapsed,is_night,is_weekend,card_tx_count,card_mean_amt,amt_deviation,amt_ratio,P_emaildomain,R_emaildomain,dist1,C1,C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D10,D15,M1,M2,M3,M4,M5,M6,id_01,id_02,id_03,id_05,id_06,id_09,id_10,id_11,id_13,id_17,id_19,id_20,DeviceType,isFraud
57.95,4,12484,543.0,150.0,2,224.0,2,264.0,87.0,21,5,110,0,1,16,79.465625,-0.26738902481649773,0.7201833080896346,100934,510396,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,1.0,167.0,167.0,8.0,165.0,167.0,167.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
15.0,4,3166,559.0,150.0,3,166.0,2,181.0,87.0,22,0,161,0,0,377,86.5357824933687,-0.8172176046839807,0.1713584956087681,322811,510396,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,608.0,0.0,1,0,0,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
137.0,4,6457,321.0,150.0,3,195.0,2,441.0,87.0,0,5,12,1,1,254,194.46516141732283,-0.2939918346606704,0.7008921641412185,322811,510396,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
92.0,4,15020,532.0,150.0,2,224.0,2,253.0,87.0,21,6,146,0,1,41,102.42487804878049,-0.1007966192028148,0.8895345272402262,322811,510396,8.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,97.0,8.0,148.0,148.0,0.0,1,1,1,1,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
129.95,4,9485,111.0,150.0,3,226.0,2,325.0,87.0,21,3,10,0,0,559,97.86376923076924,0.3245499440177585,1.314435015082915,100934,510396,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
77.0,4,3757,555.0,150.0,3,226.0,2,272.0,87.0,0,6,34,1,1,27,157.8962962962963,-0.5091137942287073,0.48459279287678897,322811,510396,8.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,10.0,1.0,76.0,76.0,11.0,63.0,75.0,75.0,1,1,1,1,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
344.95,4,7676,512.0,150.0,3,226.0,2,299.0,87.0,18,3,17,0,0,2038,139.91858341511283,1.4549636507550823,2.4478673546118386,322811,510396,5.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,26.0,26.0,27.0,27.0,27.0,27.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
107.95,4,7815,161.0,150.0,2,117.0,2,123.0,87.0,18,0,35,0,0,2411,112.3590945665699,-0.03889493457431119,0.9522835411904829,100934,510396,8.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,33.0,2.0,169.0,169.0,16.0,515.0,515.0,515.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
40.0,1,17321,111.0,150.0,3,226.0,2,472.0,87.0,3,3,24,1,0,839,141.959052443385,-0.7132045904106917,0.2798003995993251,322811,510396,8.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,8.0,26.0,15.0,52.0,1,1,1,0,0,0,-5.0,85476.0,0.0,0.0,0.0,0.0,0.0,100.0,49.0,166.0,633.0,391.0,1,0
221.99,4,16764,555.0,150.0,3,226.0,1,204.0,87.0,20,5,5,0,1,14,226.03142857142856,-0.01780118548722007,0.9777941380048074,322811,510396,44.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
87.95,4,10493,455.0,150.0,2,166.0,2,272.0,87.0,14,6,41,0,1,140,104.84028571428571,-0.15958276756622508,0.8309690342051771,322811,510396,8.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,8.0,2.0,48.0,48.0,6.0,48.0,48.0,48.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
107.95,4,12099,517.0,150.0,2,224.0,2,264.0,87.0,4,6,146,1,1,27,224.73407407407407,-0.5173524402689497,0.4782175683613298,28289,510396,8.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,3.0,44.0,44.0,43.0,0.0,43.0,0.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
169.95,4,17399,111.0,150.0,2,224.0,2,204.0,87.0,2,6,104,1,1,1916,122.02049060542798,0.38960590352626373,1.3814771763924454,100934,510396,17.0,11.0,6.0,0.0,2.0,6.0,0.0,0.0,5.0,0.0,5.0,1.0,110.0,10.0,377.0,377.0,7.0,405.0,407.0,407.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
25.95,4,14080,133.0,150.0,3,226.0,2,264.0,87.0,20,4,18,0,0,243,95.67037037037038,-0.7212175778705797,0.2684379908815754,322811,510396,9.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
49.0,4,12481,555.0,150.0,3,226.0,2,251.0,87.0,19,3,17,0,0,7,50.42857142857143,-0.027777777777777818,0.9527777777777777,322811,510396,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
150.0,2,10276,399.0,150.0,0,102.0,1,310.0,87.0,16,4,18,0,0,16,185.9375,-0.19224339685723837,0.802407221664995,6267,1398,8.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,97.0,8.0,26.0,15.0,52.0,1,1,1,0,0,0,-5.0,124330.0,0.0,0.0,0.0,0.0,0.0,100.0,49.0,166.0,215.0,225.0,0,0
107.95,4,12839,321.0,150.0,3,226.0,2,264.0,87.0,6,3,143,1,0,5129,120.72543614739715,-0.10495288866270636,0.8868319015040005,322811,510396,6.0,4.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,4.0,26.0,26.0,26.0,51.0,51.0,405.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
214.95,4,1233,111.0,150.0,3,226.0,2,205.0,87.0,14,6,62,0,1,29,118.49379310344828,0.8072068380409311,1.798838202532522,2970,510396,8.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,3.0,288.0,288.0,42.0,289.0,233.0,526.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
100.0,2,12501,490.0,150.0,3,226.0,2,225.0,87.0,15,2,23,0,0,3152,121.39785184010152,-0.17482211916639936,0.8170078028055452,322811,510396,8.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,26.0,15.0,52.0,1,1,1,0,0,0,-45.0,41711.0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,193.0,266.0,0,0
213.0,4,1771,555.0,150.0,3,226.0,2,269.0,87.0,22,5,26,0,1,2,147.975,0.4364826313139789,1.4297700956536332,28289,510396,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,0.0,97.0,8.0,491.0,364.0,491.0,1,0,0,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
994.0,4,12577,268.0,150.0,3,166.0,2,299.0,87.0,2,4,53,1,0,2891,100.23127637495676,8.82897811457556,9.819099744611163,322811,510396,8.0,5.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,21.0,4.0,0.0,97.0,8.0,0.0,234.0,234.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
82.95,4,18350,472.0,150.0,3,166.0,2,337.0,87.0,1,4,39,1,0,361,100.81963988919668,-0.17550287850794777,0.8146758335648092,322811,510396,4.0,19.0,15.0,0.0,12.0,14.0,0.0,0.0,7.0,0.0,11.0,0.0,55.0,15.0,149.0,149.0,140.0,26.0,319.0,319.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
25.95,4,18132,567.0,150.0,2,117.0,2,184.0,87.0,1,2,51,1,0,4209,123.41633951057258,-0.783388579779669,0.20857389071308302,100934,510396,8.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,97.0,0.0,131.0,0.0,133.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
54.0,4,7919,194.0,150.0,2,166.0,2,325.0,87.0,18,6,97,0,1,14932,101.2098506563086,-0.46189139650596595,0.5283248107032334,322811,510396,8.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,6.0,1.0,249.0,249.0,2.0,249.0,6.0,249.0,1,0,0,0,1,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
59.0,4,12695,490.0,150.0,3,226.0,2,325.0,87.0,3,1,134,1,0,7091,141.14464546608377,-0.5778947578133274,0.4150701548168947,28289,510396,11.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,2.0,31.0,31.0,0.0,42.0,42.0,42.0,1,0,0,0,1,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
108.95,4,7508,321.0,150.0,3,226.0,2,220.0,87.0,17,5,110,0,1,3490,125.9003229226361,-0.13357194475359796,0.8585478546529832,322811,510396,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,102.0,102.0,59.0,26.0,102.0,102.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
26.95,4,12839,321.0,150.0,3,226.0,2,264.0,87.0,3,5,103,1,1,5129,120.72543614739715,-0.7703848851594551,0.2213999050072516,322811,510396,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
15.0,4,4436,174.0,150.0,3,226.0,2,272.0,87.0,19,3,10,0,0,1947,116.76214997431946,-0.8641329153425855,0.12737539186632607,28289,510396,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,421.0,421.0,2.0,448.0,448.0,473.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
29.0,4,2884,490.0,150.0,3,226.0,2,387.0,87.0,19,2,177,0,0,3873,111.03222230828815,-0.7322198972591424,0.2588540993161623,100934,510396,33.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,40.0,2.0,22.0,22.0,1.0,610.0,17.0,638.0,1,1,1,0,1,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
45.0,4,6457,321.0,150.0,3,195.0,2,325.0,87.0,0,4,11,1,0,254,194.46516141732283,-0.7646639448868902,0.23022005391499878,4092,510396,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,17.0,17.0,0.0,0.0,16.0,38.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,1
113.95,4,17321,111.0,150.0,3,226.0,2,472.0,87.0,23,2,170,1,0,839,141.959052443385,-0.19592360165143935,0.7970813883585776,322811,510396,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
280.0,4,12695,490.0,150.0,3,226.0,2,325.0,87.0,1,4,46,1,0,7091,141.14464546608377,0.9768595509075833,1.9698244635378053,322811,510396,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,67.0,67.0,5.0,26.0,105.0,60.0,1,1,0,0,1,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
664.0,4,7919,194.0,150.0,2,202.0,2,123.0,87.0,15,4,18,0,0,14932,101.2098506563086,5.506222205882412,6.496438413091611,322811,510396,8.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,43.0,97.0,0.0,4.0,44.0,4.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
29.0,4,12577,268.0,150.0,3,166.0,2,315.0,87.0,18,0,63,0,0,2891,100.23127637495676,-0.7036489010680735,0.2864727289675289,322811,510396,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
30.95,4,13734,491.0,150.0,3,226.0,2,337.0,87.0,8,0,112,0,0,209,102.5851100478469,-0.691557985648304,0.2987881171888886,100934,510396,2.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,24.0,2.0,502.0,502.0,13.0,349.0,250.0,587.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
15.95,4,8187,361.0,150.0,3,166.0,2,512.0,87.0,21,2,142,0,0,222,108.32644144144145,-0.844959739139786,0.14589334281536367,322811,510396,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,14.0,1.0,206.0,206.0,10.0,206.0,14.0,123.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
117.0,4,10057,225.0,150.0,2,224.0,2,204.0,87.0,23,1,71,1,0,3166,120.20926121288693,-0.026477029731666425,0.9652727756050427,45250,510396,13.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,3.0,24.0,24.0,1.0,143.0,0.0,143.0,1,1,0,1,1,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
44.0,4,13530,455.0,150.0,2,224.0,2,327.0,87.0,1,4,46,1,0,193,101.86419689119171,-0.5625300020803121,0.4277484424103615,322811,510396,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
59.0,4,18132,567.0,150.0,2,117.0,2,204.0,87.0,19,1,1,0,0,4209,123.41633951057258,-0.5177482295651259,0.47421424092762615,322811,510396,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,26.0,0.0,52.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
59.0,4,11282,478.0,150.0,3,166.0,2,204.0,87.0,2,2,135,1,0,117,121.27205128205128,-0.5092909673888197,0.4825305487343272,322811,510396,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,97.0,8.0,26.0,155.0,52.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
40.0,1,7676,512.0,150.0,3,226.0,2,420.0,87.0,21,3,17,0,0,2038,139.91858341511283,-0.7090518581270173,0.28385184572973926,100934,510396,8.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,26.0,15.0,52.0,1,1,1,0,0,0,0.0,49948.0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,650.0,144.0,0,0
335.0,4,7680,360.0,150.0,2,166.0,2,264.0,87.0,21,1,43,0,0,433,115.8776674364896,1.8748006986243093,2.866244744164118,322811,510396,44.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,4.0,4.0,0.0,4.0,1,1,0,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
24.5,4,12469,360.0,150.0,2,126.0,2,184.0,87.0,17,4,81,0,0,1267,93.295090765588,-0.7295723479031216,0.2598226461322949,322811,510396,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,1,1,1,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
59.0,4,12501,490.0,150.0,3,226.0,2,181.0,87.0,23,6,125,1,1,3152,121.39785184010152,-0.5097953183166729,0.4820346036552717,45250,510396,993.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,16.0,2.0,116.0,116.0,0.0,116.0,116.0,116.0,1,0,0,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
2715.95,4,6019,583.0,150.0,3,226.0,1,330.0,87.0,19,4,4,0,0,6771,225.4413367301728,10.998471830421643,11.994055675604505,45250,510396,1318.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,97.0,8.0,0.0,0.0,0.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
29.0,4,13780,298.0,150.0,3,226.0,2,441.0,87.0,18,1,71,0,0,1008,95.8457738095238,-0.6902291259605816,0.2994451782381044,322811,510396,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,463.0,463.0,463.0,1,1,1,1,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
49.95,4,7585,553.0,150.0,3,226.0,1,204.0,87.0,1,6,104,1,1,5334,206.71477877765278,-0.7547117239330421,0.24047398213041318,322811,510396,51.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,3.0,0.0,97.0,8.0,121.0,121.0,121.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
746.73,4,5938,111.0,150.0,3,162.0,1,472.0,87.0,20,2,156,0,0,988,239.55015182186233,2.108416246412208,3.104259109148206,45250,510396,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,97.0,8.0,45.0,45.0,45.0,1,1,0,0,0,1,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
107.95,4,4744,555.0,150.0,2,117.0,2,472.0,87.0,14,5,96,0,1,11,153.17727272727274,-0.29334591232052837,0.700168047407058,7888,510396,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,1.0,545.0,545.0,28.0,243.0,403.0,403.0,1,1,1,0,0,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
59.0,4,13209,555.0,150.0,3,226.0,2,225.0,87.0,1,5,61,1,1,29,123.80862068965517,-0.519263976571026,0.47272375637182446,322811,510396,8.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,20.0,3.0,145.0,145.0,0.0,91.0,309.0,207.0,1,1,1,0,1,0,-5.0,125800.5,0.0,0.0,0.0,0.0,0.0,100.0,52.0,166.0,341.0,472.0,0,0
